project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
cce_cog_28,cogen_natural_gas,06-noreste,10.3,0,,,7.4,0.9,A_partir_de_2019,0.9,,,910,optimization,g_ahnrr,natural_gas,16-monterrey
cce_cog_29,cogen_natural_gas,01-central,10.3,0,,,7.4,0.9,A_partir_de_2019,0.9,,,911,optimization,g_central,natural_gas,31-central
cce_cog_30,cogen_natural_gas,01-central,10.3,0,,,7.4,0.9,A_partir_de_2019,0.9,,,912,optimization,g_central,natural_gas,31-central
cce_cog_31,cogen_natural_gas,01-central,10.3,0,,,7.4,0.9,A_partir_de_2019,0.9,,,913,optimization,g_central,natural_gas,31-central
cce_cog_32,cogen_natural_gas,01-central,10.3,0,,,7.4,0.9,A_partir_de_2019,0.9,,,914,optimization,g_central,natural_gas,31-central
cce_cog_33,cogen_natural_gas,03-occidental,10.3,0,,,7.4,1.6,A_partir_de_2019,1.6,,,915,optimization,g_sauzqro,natural_gas,24-aguascalientes
cce_cog_34,cogen_natural_gas,05-norte,10.3,0,,,7.4,2.3,A_partir_de_2019,2.3,,,916,optimization,zzon_nort,natural_gas,11-laguna
cce_cog_19,cogen_natural_gas,06-noreste,6.9,0,,,7.7,729.8,A_partir_de_2019,729.8,,,917,optimization,gn_altam,natural_gas,19-huasteca
cce_cog_15,cogen_natural_gas,03-occidental,6.9,0,,,7.7,681.1,A_partir_de_2019,681.1,,,918,optimization,g_sauzqro,natural_gas,26-salamanca
cce_cog_35,cogen_natural_gas,01-central,10.3,0,,,7.4,18.6,A_partir_de_2019,18.6,,,919,optimization,g_central,natural_gas,31-central
cce_cog_16,cogen_natural_gas,07-peninsular,9.6,0,,,5.5,7.8,A_partir_de_2019,7.8,,,920,optimization,g_penin,natural_gas,42-merida
cce_cog_36,cogen_natural_gas,01-central,8,0,,,7.4,80.9,A_partir_de_2019,80.9,,,921,optimization,g_central,natural_gas,31-central
cce_cog_37,cogen_natural_gas,07-peninsular,10.3,0,,,7.4,12,A_partir_de_2019,12,,,922,optimization,g_penin,natural_gas,42-merida
cce_cog_38,cogen_diesel,02-oriental,9.6,0,,,7.1,42.2,A_partir_de_2019,42.2,,,923,optimization,d_naciona,diesel,33-veracruz
cce_cog_39,cogen_natural_gas,06-noreste,7.2,0,,,7.7,59,A_partir_de_2019,59,,,924,optimization,gn_altam,natural_gas,19-huasteca
cce_cog_40,cogen_natural_gas,03-occidental,7.2,0,,,7.7,59.6,A_partir_de_2019,59.6,,,925,optimization,g_sauzqro,natural_gas,30-queretaro
cce_cog_41,cogen_natural_gas,01-central,10.3,0,,,7.4,6,A_partir_de_2019,6,,,926,optimization,g_slorp,natural_gas,31-central
cce_cog_42,cogen_natural_gas,03-occidental,9.6,0,,,5.5,0.8,A_partir_de_2019,0.8,,,927,optimization,g_sauzqro,natural_gas,25-san_luis_potosi
cce_cog_21,cogen_diesel,03-occidental,9.6,0,,,7.1,26.2,A_partir_de_2019,26.2,,,928,optimization,d_naciona,diesel,27-manzanillo
cce_cog_43,cogen_diesel,02-oriental,9.6,0,,,7.1,26.2,A_partir_de_2019,26.2,,,929,optimization,d_naciona,diesel,32-poza_rica
cce_cog_44,cogen_natural_gas,02-oriental,10.3,0,,,7.4,8,A_partir_de_2019,8,,,930,optimization,gn_tuxp,natural_gas,36-temascal
cce_cog_45,cogen_natural_gas,02-oriental,10.6,0,,,5.5,197.8,A_partir_de_2019,197.8,,,931,optimization,gn_tuxp,natural_gas,32-poza_rica
cce_cog_46,cogen_fuel_oil,10-baja_california_sur-mulege,9.6,0,,,7.1,43.1,A_partir_de_2019,43.1,,,932,optimization,c_n_vizc,fuel_oil,53-mulege
cce_cog_47,cogen_natural_gas,03-occidental,10.3,0,,,7.4,1.8,A_partir_de_2019,1.8,,,933,optimization,g_sauzqro,natural_gas,23-guadalajara
cce_cog_11,cogen_natural_gas,08-baja_california,9.6,0,,,5.5,22.1,A_partir_de_2019,22.1,,,934,optimization,g_i_noro,natural_gas,48-mexicali
cce_cog_22,cogen_natural_gas,02-oriental,6.7,0,,,7.7,775.2,A_partir_de_2019,775.2,,,935,optimization,g_tuxpoz,natural_gas,38-tabasco
cce_cog_48,cogen_natural_gas,02-oriental,6.6,0,,,7.7,437,A_partir_de_2019,437,,,936,optimization,g_slorp,natural_gas,37-coatzacoalcos
cce_cog_20,cogen_natural_gas,02-oriental,6.7,0,,,7.7,349.2,A_partir_de_2019,349.2,,,937,optimization,gn_tuxp,natural_gas,37-coatzacoalcos
cce_cog_49,cogen_natural_gas,03-occidental,6.9,0,,,7.7,292.2,A_partir_de_2019,292.2,,,938,optimization,g_sauzqro,natural_gas,23-guadalajara
cce_cog_50,cogen_natural_gas,02-oriental,9.6,0,,,5.5,12.6,A_partir_de_2019,12.6,,,939,optimization,g_tuxpoz,natural_gas,38-tabasco
cce_cog_17,cogen_natural_gas,02-oriental,7.2,0,,,7.7,18.5,A_partir_de_2019,18.5,,,940,optimization,g_tuxpoz,natural_gas,38-tabasco
cce_cog_51,cogen_natural_gas,01-central,10.3,0,,,7.4,2.2,A_partir_de_2019,2.2,,,941,optimization,g_slorp,natural_gas,31-central
cce_cog_52,cogen_natural_gas,03-occidental,10.3,0,,,7.4,3.8,A_partir_de_2019,3.8,,,942,optimization,g_sauzqro,natural_gas,24-aguascalientes
cce_cog_53,cogen_natural_gas,06-noreste,7.2,0,,,7.7,15.7,A_partir_de_2019,15.7,,,943,optimization,g_ahnrr,natural_gas,16-monterrey
cce_cog_54,cogen_natural_gas,01-central,10.3,0,,,7.4,1.7,A_partir_de_2019,1.7,,,944,optimization,g_central,natural_gas,31-central
cce_cog_55,cogen_natural_gas,02-oriental,9.6,0,,,5.5,62.4,A_partir_de_2019,62.4,,,945,optimization,gn_tuxp,natural_gas,37-coatzacoalcos
cce_cog_56,cogen_natural_gas,01-central,9.6,0,,,5.5,29.3,A_partir_de_2019,29.3,,,946,optimization,g_central,natural_gas,31-central
cce_cog_57,cogen_diesel,06-noreste,9.6,0,,,7.1,37.5,A_partir_de_2019,37.5,,,947,optimization,d_naciona,diesel,19-huasteca
cce_gen_01,cogen_natural_gas,02-oriental,6.9,0,,,7.7,661.6,2017,661.6,,,948,firm_project,g_tuxpoz,natural_gas,38-tabasco
cce_gen_02,cogen_natural_gas,06-noreste,9.6,0,,,5.5,21.6,A_partir_de_2019,21.6,,,949,optimization,gn_altam,natural_gas,19-huasteca
cce_gco_04,cogen_natural_gas,01-central,7.2,0,,,7.7,140.9,A_partir_de_2019,140.9,,,950,generic_project,g_central,natural_gas,31-central
cce_gco_05,cogen_natural_gas,01-central,6.6,0,,,7.7,474.8,A_partir_de_2019,474.8,,,951,generic_project,g_central,natural_gas,31-central
cce_gco_06,cogen_natural_gas,05-norte,7.2,0,,,7.7,104.2,A_partir_de_2019,104.2,,,952,generic_project,zzon_nort,natural_gas,09-chihuahua
cce_gco_01,cogen_natural_gas,05-norte,6.5,0,,,7.7,929.3,A_partir_de_2019,929.3,,,953,generic_project,zzon_nort,natural_gas,09-chihuahua
cce_gco_07,cogen_natural_gas,03-occidental,7.2,0,,,7.7,251.9,A_partir_de_2019,251.9,,,954,generic_project,g_petsal,natural_gas,23-guadalajara
cce_gco_08,cogen_natural_gas,03-occidental,6.9,0,,,7.7,848.1,A_partir_de_2019,848.1,,,955,generic_project,g_sauzqro,natural_gas,23-guadalajara
cce_gco_09,cogen_natural_gas,03-occidental,6.9,0,,,7.7,848.5,A_partir_de_2019,848.5,,,956,generic_project,g_sauzqro,natural_gas,23-guadalajara
cce_gco_10,cogen_natural_gas,04-noroeste,7.2,0,,,7.7,255.8,A_partir_de_2019,255.8,,,957,generic_project,zzon_noro,natural_gas,01-hermosillo
cce_gco_11,cogen_natural_gas,06-noreste,7.2,0,,,7.7,147.7,A_partir_de_2019,147.7,,,958,generic_project,gn_altam,natural_gas,19-huasteca
cce_gco_12,cogen_natural_gas,07-peninsular,6.9,0,,,7.7,527.4,A_partir_de_2019,527.4,,,959,generic_project,g_penin,natural_gas,42-merida
cce_gco_13,cogen_natural_gas,07-peninsular,6.9,0,,,7.7,527.4,A_partir_de_2019,527.4,,,960,generic_project,g_penin,natural_gas,42-merida
cce_gco_14,cogen_natural_gas,02-oriental,7.2,0,,,7.7,112,A_partir_de_2019,112,,,961,generic_project,g_slorp,natural_gas,34-puebla
cce_gco_15,cogen_natural_gas,03-occidental,7.2,0,,,7.7,50,A_partir_de_2019,50,,,962,generic_project,g_sauzqro,natural_gas,30-queretaro
cce_gco_16,cogen_natural_gas,02-oriental,7.2,0,,,7.7,93.4,A_partir_de_2019,93.4,,,963,generic_project,gn_tuxp,natural_gas,38-tabasco
cce_gco_17,cogen_natural_gas,06-noreste,6.9,0,,,7.7,838.9,A_partir_de_2019,838.9,,,964,generic_project,gn_tamazu,natural_gas,20-tamazunchale
cce_gco_18,cogen_natural_gas,06-noreste,6.5,0,,,7.7,1087.1,A_partir_de_2019,1087.1,,,965,generic_project,gn_tamazu,natural_gas,20-tamazunchale
cce_gco_02-cce_gco_03_2/,cogen_natural_gas,06-noreste,6.5,0,,,7.7,1087.1,A_partir_de_2019,1087.1,,,966,generic_project,gn_tamazu,natural_gas,20-tamazunchale
cce_gco_19,cogen_natural_gas,02-oriental,6.9,0,,,7.7,231.8,A_partir_de_2019,231.8,,,967,generic_project,g_tuxpoz,natural_gas,32-poza_rica
cce_gco_20,cogen_diesel,01-central,10.3,0,,,7.4,31.6,A_partir_de_2019,31.6,,,968,generic_project,d_naciona,diesel,31-central
cce_gco_21,cogen_diesel,05-norte,10.3,0,,,7.4,2.4,A_partir_de_2019,2.4,,,969,generic_project,d_naciona,diesel,10-durango
cce_gco_22,cogen_diesel,03-occidental,10.3,0,,,7.4,10.8,A_partir_de_2019,10.8,,,970,generic_project,d_naciona,diesel,23-guadalajara
cce_gco_23,cogen_diesel,06-noreste,10.3,0,,,7.4,0.9,A_partir_de_2019,0.9,,,971,generic_project,d_naciona,diesel,16-monterrey
cce_gco_24,cogen_diesel,10-baja_california_sur-mulege,10.3,0,,,7.4,10.1,A_partir_de_2019,10.1,,,972,generic_project,d_bcn,diesel,53-mulege
cce_gco_25,cogen_diesel,03-occidental,10.3,0,,,7.4,2.5,A_partir_de_2019,2.5,,,973,generic_project,d_naciona,diesel,30-queretaro
cce_gco_26,cogen_diesel,03-occidental,10.3,0,,,7.4,5,A_partir_de_2019,5,,,974,generic_project,d_naciona,diesel,25-san_luis_potosi
cce_gco_27,cogen_diesel,02-oriental,8,0,,,7.4,80.7,A_partir_de_2019,80.7,,,975,generic_project,d_naciona,diesel,32-poza_rica
cce_gco_28,cogen_fuel_oil,01-central,9.6,0,,,7.1,31.3,A_partir_de_2019,31.3,,,976,generic_project,c_n_tula,fuel_oil,31-central
cce_gco_29,cogen_fuel_oil,03-occidental,9.6,0,,,7.1,23.4,A_partir_de_2019,23.4,,,977,generic_project,c_n_sala,fuel_oil,23-guadalajara
cce_gco_30,cogen_fuel_oil,03-occidental,9.6,0,,,7.1,60.2,A_partir_de_2019,60.2,,,978,generic_project,c_n_sala,fuel_oil,30-queretaro
cce_gco_31,cogen_natural_gas,03-occidental,9.6,0,,,5.5,0.9,A_partir_de_2019,0.9,,,979,generic_project,g_petsal,natural_gas,28-carapan
cce_gco_32,cogen_natural_gas,01-central,11.8,0,,,5.5,76.9,A_partir_de_2019,76.9,,,980,generic_project,g_central,natural_gas,31-central
cce_gco_33,cogen_natural_gas,05-norte,9.6,0,,,5.5,7.8,A_partir_de_2019,7.8,,,981,generic_project,zzon_nort,natural_gas,10-durango
cce_gco_34,cogen_natural_gas,03-occidental,9.6,0,,,5.5,5.8,A_partir_de_2019,5.8,,,982,generic_project,g_petsal,natural_gas,23-guadalajara
cce_gco_35,cogen_diesel,07-peninsular,10.6,0,,,5.5,167.5,A_partir_de_2019,167.5,,,983,generic_project,d_penins,diesel,41-lerma
cce_gco_36,cogen_diesel,07-peninsular,10.6,0,,,5.5,167.5,A_partir_de_2019,167.5,,,984,generic_project,d_penins,diesel,42-merida
cce_gco_37,cogen_natural_gas,08-baja_california,11.8,0,,,5.5,44.5,A_partir_de_2019,44.5,,,985,generic_project,g_i_jovibn,natural_gas,48-mexicali
cce_gco_38,cogen_natural_gas,06-noreste,9.6,0,,,5.5,30.9,A_partir_de_2019,30.9,,,986,generic_project,g_ahnrr,natural_gas,16-monterrey
cce_gco_39,cogen_natural_gas,02-oriental,9.6,0,,,5.5,47.3,A_partir_de_2019,47.3,,,987,generic_project,g_slorp,natural_gas,34-puebla
cce_gco_40,cogen_natural_gas,06-noreste,9.6,0,,,5.5,2.5,A_partir_de_2019,2.5,,,988,generic_project,g_ahnrr,natural_gas,12-rio_escondido
cce_gco_41,cogen_natural_gas,03-occidental,9.6,0,,,5.5,2.2,A_partir_de_2019,2.2,,,989,generic_project,g_sauzqro,natural_gas,26-salamanca
cce_gco_42,cogen_natural_gas,03-occidental,9.6,0,,,5.5,0.8,A_partir_de_2019,0.8,,,990,generic_project,g_sauzqro,natural_gas,25-san_luis_potosi
cci_aut_04,internal_combustion_diesel,06-noreste,8,0,,,7.4,130.1,2016,130.1,,,991,firm_project,d_naciona,diesel,12-rio_escondido
cci_aut_05,internal_combustion_diesel,03-occidental,10.3,0,,,7.4,4.6,A_partir_de_2019,4.6,,,992,optimization,d_naciona,diesel,26-salamanca
cci_aut_06,internal_combustion_natural_gas,01-central,10.3,0,,,7.4,1.1,A_partir_de_2019,1.1,,,993,optimization,g,natural_gas,31-central
cci_aut_07,internal_combustion_diesel,06-noreste,8,0,,,7.4,443.9,A_partir_de_2019,443.9,,,994,optimization,d_naciona,diesel,12-rio_escondido
cci_aut_08,internal_combustion_natural_gas,03-occidental,10.3,0,,,7.4,1.9,A_partir_de_2019,1.9,,,995,optimization,g_sauzqro,natural_gas,23-guadalajara
cci_aut_09,internal_combustion_diesel,07-peninsular,10.3,0,,,7.4,6.7,A_partir_de_2019,6.7,,,996,optimization,d_penins,diesel,43-cancun
