PROJECT	proj_gen_tech	proj_load_zone	proj_variable_o_m	proj_full_load_heat_rate	proj_forced_outage_rate	proj_scheduled_outage_rate	proj_dbid	proj_capacity_limit_mw
royal_porto	internal_combustion_natural_gas	00-autoabasto_local	6.63	23.12796209	7.4	11.23	717.0	1.0
sabritas_planta_orizab	internal_combustion_diesel	00-autoabasto_local	6.63	12.51184834	7.4	11.23	718.0	2.98
saint_gobain_vetrotex_america	internal_combustion_diesel	00-autoabasto_local	6.63	11.37440758	7.4	11.23	719.0	3.5
sales_del_istmo_ixhuatlan	internal_combustion_diesel	00-autoabasto_local	6.63	15.35545024	7.4	11.23	720.0	0.75
sanchez_y_martin	internal_combustion_diesel	00-autoabasto_local	6.63	10.14218009	7.4	11.23	721.0	1.825
sasa_del_pacifico	internal_combustion_diesel	00-autoabasto_local	6.63	9.573459716	7.4	11.23	722.0	1.35
schering_plough	internal_combustion_diesel	00-autoabasto_local	6.63	7.962085308	7.4	11.23	723.0	6.096
secretaria_de_seguridad_publica_a_traves_del	internal_combustion_diesel	00-autoabasto_local	6.63	12.7014218	7.4	11.23	724.0	3.05
sekisui_s-lec_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	10.99526066	7.4	11.23	725.0	0.76
servicios_de_agua_y_drenaje_de_monterrey_dulcesnom	bioenergy_natural_gas	00-autoabasto_local	4.37	9.763033175	7.4	11.23	726.0	9.2
servicios_de_agua_y_drenaje_de_monterrey_norte	bioenergy_natural_gas	00-autoabasto_local	4.37	9.763033175	7.4	11.23	727.0	1.6
servicios_de_operaciones_hoteleras	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	728.0	0.9
sigma_alimentos_centro_plant	internal_combustion_natural_gas	00-autoabasto_local	6.63	12.41706161	7.4	11.23	729.0	3.183
sistema_de_agua_y_saneamiento_metropolitano_d	internal_combustion_diesel	00-autoabasto_local	6.63	11.65876777	7.4	11.23	730.0	2.8
solvay_&_cpc_barium_strontium_monterrey	internal_combustion_diesel	00-autoabasto_local	6.63	12.60663507	7.4	11.23	731.0	2.0
tecnologia_en_nitrogeno	gas_turbine_natural_gas	00-autoabasto_local	3.432	10.33175355	5.5	9.22	732.0	6.75
tecnologias_para_el_cuidado_ambiental	internal_combustion_natural_gas	00-autoabasto_local	6.63	8.625592417	7.4	11.23	733.0	1.734
telefonos_de_mexico_aztecas	internal_combustion_diesel	00-autoabasto_local	6.63	15.35545024	7.4	11.23	734.0	1.28
telefonos_de_mexico_chamizal	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	735.0	0.6
telefonos_de_mexico_estrella	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	736.0	2.325
telefonos_de_mexico_hidalgo_ii	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	737.0	0.765
telefonos_de_mexico_petrolera	internal_combustion_diesel	00-autoabasto_local	6.63	19.24170616	7.4	11.23	738.0	0.8
telefonos_de_mexico_santafe	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	739.0	0.8
telefonos_de_mexico_tuxtlaguti	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	740.0	0.9
telefonos_de_mexico_veronica	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	741.0	2.48
telefonos_de_mexico_yanez	internal_combustion_diesel	00-autoabasto_local	6.63	14.40758294	7.4	11.23	742.0	0.9
telefonos_de_mexico_tlaquepaque	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	743.0	1.65
telefonos_de_mexico_aragon	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	744.0	0.6
telefonos_de_mexico_roma_i	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	745.0	3.232
telefonos_de_mexico_bandera	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	746.0	0.9
telefonos_de_mexico_corregidora	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	747.0	0.6
telefonos_de_mexico_cuautitlan	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	748.0	0.75
telefonos_de_mexico_mixcoac	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	749.0	0.765
telefonos_de_mexico_nextengo	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	750.0	4.85
telefonos_de_mexico_sanjuan	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	751.0	6.25
telefonos_de_mexico_azteca_metro	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	752.0	0.6
telefonos_de_mexico_centro_a_lada	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	753.0	1.25
telefonos_de_mexico_chapalita	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	754.0	0.9
telefonos_de_mexico_coatzacoalcos	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	755.0	0.6
telefonos_de_mexico_colima	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	756.0	0.6
telefonos_de_mexico_copernico	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	757.0	1.0
telefonos_de_mexico_cultura	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	758.0	0.8
telefonos_de_mexico_fuentes	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	759.0	0.95
telefonos_de_mexico_fuertes	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	760.0	0.6
telefonos_de_mexico_guadalupe_metr	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	761.0	0.6
