PROJECT_BUILDYEARS_1	PROJECT_BUILDYEARS_2	BuildProj
coal_mejillones	2024	0.0
coal_mejillones	2026	0.0
coal_mejillones	2028	145.855106492
coal_mejillones	2030	154.143546616
coal_mejillones	2032	0.0
coal_mejillones	2034	0.0
coal_mejillones	2036	700.000003313
coal_mejillones	2038	0.0
coal_nogales	2009	750.0
coal_nogales	2020	0.0
coal_nogales	2022	0.0
coal_nogales	2024	0.0
coal_nogales	2026	0.0
coal_nogales	2028	0.0
coal_nogales	2030	247.76423224
coal_nogales	2032	2.23465586457
coal_nogales	2034	0.0
coal_nogales	2036	0.0
coal_nogales	2038	0.0
colbun	1985	472.8
colbun	2020	0.0
colbun	2022	0.0
colbun	2024	0.0
colbun	2026	0.0
colbun	2028	0.0
colbun	2030	0.0
colbun	2032	0.0
colbun	2034	0.0
colbun	2036	0.0
colbun	2038	0.0
coronel	2004	23.4
coronel	2020	0.0
coronel	2022	0.0
coronel	2024	0.0
coronel	2026	0.0
coronel	2028	0.0
coronel	2030	0.0
coronel	2032	0.0
coronel	2034	0.0
coronel	2036	0.0
coronel	2038	0.0
curillinque	1993	91.8
curillinque	2020	0.0
curillinque	2022	0.0
curillinque	2024	0.0
curillinque	2026	0.0
curillinque	2028	0.0
curillinque	2030	0.0
curillinque	2032	91.799912539
curillinque	2034	0.0
curillinque	2036	0.0
curillinque	2038	0.0
el_toro	1973	448.7
el_toro	2020	0.0
el_toro	2022	0.0
el_toro	2024	0.0
el_toro	2026	0.0
el_toro	2028	0.0
el_toro	2030	0.0
el_toro	2032	0.0
el_toro	2034	0.0
el_toro	2036	0.0
el_toro	2038	0.0
isla	1964	69.9
isla	2020	69.899935153
isla	2022	0.0
isla	2024	0.0
isla	2026	0.0
isla	2028	0.0
isla	2030	0.0
isla	2032	0.0
isla	2034	0.0
isla	2036	0.0
isla	2038	0.0
loma_alta	1997	39.9
loma_alta	2020	0.0
loma_alta	2022	0.0
loma_alta	2024	0.0
loma_alta	2026	0.0
loma_alta	2028	0.0
loma_alta	2030	0.0
loma_alta	2032	0.0
loma_alta	2034	0.0
loma_alta	2036	39.8999907571
loma_alta	2038	0.0
los_condores	2018	150.0
los_condores	2020	0.0
los_condores	2022	0.0
los_condores	2024	0.0
los_condores	2026	0.0
los_condores	2028	0.0
los_condores	2030	0.0
los_condores	2032	0.0
los_condores	2034	0.0
los_condores	2036	0.0
los_condores	2038	0.0
machicura	1985	94.8
machicura	2020	0.0
machicura	2022	0.0
machicura	2024	0.0
machicura	2026	0.0
machicura	2028	0.0
machicura	2030	0.0
machicura	2032	0.0
machicura	2034	0.0
machicura	2036	0.0
machicura	2038	0.0
new_hydro_charrua	2020	0.0
new_hydro_charrua	2022	0.0
new_hydro_charrua	2024	0.0
new_hydro_charrua	2026	0.0
new_hydro_charrua	2028	0.0
new_hydro_charrua	2029	1500.0
new_hydro_charrua	2030	0.0
new_hydro_charrua	2032	0.0
new_hydro_charrua	2034	0.0
new_hydro_charrua	2036	0.0
new_hydro_charrua	2038	0.0
new_hydro_puerto_montt	2020	0.0
new_hydro_puerto_montt	2022	0.0
new_hydro_puerto_montt	2023	1000.0
new_hydro_puerto_montt	2024	0.0
new_hydro_puerto_montt	2026	0.0
new_hydro_puerto_montt	2028	0.0
new_hydro_puerto_montt	2030	0.0
new_hydro_puerto_montt	2032	0.0
new_hydro_puerto_montt	2034	0.0
new_hydro_puerto_montt	2036	0.0
new_hydro_puerto_montt	2038	0.0
palmucho	2007	32.0
palmucho	2020	0.0
palmucho	2022	0.0
palmucho	2024	0.0
palmucho	2026	0.0
palmucho	2028	0.0
palmucho	2030	0.0
palmucho	2032	0.0
palmucho	2034	0.0
palmucho	2036	0.0
palmucho	2038	0.0
pangue	1996	465.8
pangue	2020	0.0
pangue	2022	0.0
pangue	2024	0.0
pangue	2026	0.0
pangue	2028	0.0
pangue	2030	0.0
pangue	2032	0.0
pangue	2034	0.0
pangue	2036	0.0
pangue	2038	0.0
pehuenche	1991	568.3
pehuenche	2020	0.0
pehuenche	2022	0.0
pehuenche	2024	0.0
pehuenche	2026	0.0
pehuenche	2028	0.0
pehuenche	2030	0.0
pehuenche	2032	0.0
pehuenche	2034	0.0
pehuenche	2036	0.0
pehuenche	2038	0.0
pv_cardones	2015	433.6
pv_cardones	2020	0.0
pv_cardones	2022	0.0
pv_cardones	2024	0.0
pv_cardones	2026	0.0
pv_cardones	2028	0.0
pv_cardones	2030	0.0
pv_cardones	2032	0.0
pv_cardones	2034	0.0
pv_cardones	2036	178.207900711
pv_cardones	2038	0.0
pv_crucero_encuentro	2015	660.0
pv_crucero_encuentro	2020	0.0
pv_crucero_encuentro	2022	0.0
pv_crucero_encuentro	2024	0.0
pv_crucero_encuentro	2026	0.0
pv_crucero_encuentro	2028	0.0
pv_crucero_encuentro	2030	0.0
pv_crucero_encuentro	2032	0.0
pv_crucero_encuentro	2034	92.5064317451
pv_crucero_encuentro	2036	447.487974349
pv_crucero_encuentro	2038	0.0
pv_diego_de_almagro	2015	440.8
pv_diego_de_almagro	2020	0.0
pv_diego_de_almagro	2022	0.0
pv_diego_de_almagro	2024	0.0
pv_diego_de_almagro	2026	0.0
pv_diego_de_almagro	2028	0.0
pv_diego_de_almagro	2030	0.0
pv_diego_de_almagro	2032	0.0
pv_diego_de_almagro	2034	0.0
pv_diego_de_almagro	2036	0.0
pv_diego_de_almagro	2038	0.0
pv_laberinto_zaldivar	2016	220.0
pv_laberinto_zaldivar	2020	0.0
pv_laberinto_zaldivar	2022	0.0
pv_laberinto_zaldivar	2024	0.0
pv_laberinto_zaldivar	2026	0.0
pv_laberinto_zaldivar	2028	0.0
pv_laberinto_zaldivar	2030	77.240655486
pv_laberinto_zaldivar	2032	356.732511984
pv_laberinto_zaldivar	2034	346.018801555
pv_laberinto_zaldivar	2036	0.0
pv_laberinto_zaldivar	2038	0.0
pv_lagunas	2015	63.7
pv_lagunas	2020	0.0
pv_lagunas	2022	0.0
pv_lagunas	2024	0.0
pv_lagunas	2026	0.0
pv_lagunas	2028	0.0
pv_lagunas	2030	0.0
pv_lagunas	2032	0.0
pv_lagunas	2034	0.0
pv_lagunas	2036	29.1138760709
pv_lagunas	2038	0.0
pv_maitencillo	2015	300.0
pv_maitencillo	2020	0.0
pv_maitencillo	2022	0.0
pv_maitencillo	2024	0.0
pv_maitencillo	2026	0.0
pv_maitencillo	2028	0.0
pv_maitencillo	2030	0.0
pv_maitencillo	2032	56.9199427377
pv_maitencillo	2034	203.506603138
pv_maitencillo	2036	639.562021218
pv_maitencillo	2038	0.0
pv_polpaico	2016	150.0
pv_polpaico	2020	0.0
pv_polpaico	2022	0.0
pv_polpaico	2024	0.0
pv_polpaico	2026	0.0
pv_polpaico	2028	0.0
pv_polpaico	2030	0.0
pv_polpaico	2032	0.0
pv_polpaico	2034	0.0
pv_polpaico	2036	0.0
pv_polpaico	2038	0.0
quilleco	2007	70.7
quilleco	2020	0.0
quilleco	2022	0.0
quilleco	2024	0.0
quilleco	2026	0.0
quilleco	2028	0.0
quilleco	2030	0.0
quilleco	2032	0.0
quilleco	2034	0.0
quilleco	2036	0.0
quilleco	2038	0.0
ralco	2004	689.0
ralco	2020	0.0
ralco	2022	0.0
ralco	2024	0.0
ralco	2026	0.0
ralco	2028	0.0
ralco	2030	0.0
ralco	2032	0.0
ralco	2034	0.0
ralco	2036	0.0
ralco	2038	0.0
rapel	1968	376.6
rapel	2020	0.0
rapel	2022	0.0
rapel	2024	0.0
rapel	2026	0.0
rapel	2028	0.0
rapel	2030	0.0
rapel	2032	0.0
rapel	2034	0.0
rapel	2036	0.0
rapel	2038	0.0
ror_alto_jahuel	2011	544.2
ror_alto_jahuel	2020	0.0
ror_alto_jahuel	2022	0.0
ror_alto_jahuel	2024	0.0
ror_alto_jahuel	2026	0.0
ror_alto_jahuel	2028	0.0
ror_alto_jahuel	2030	0.0
ror_alto_jahuel	2032	0.0
ror_alto_jahuel	2034	0.0
ror_alto_jahuel	2036	0.0
ror_alto_jahuel	2038	0.0
ror_ancoa	2015	172.5
ror_ancoa	2020	0.0
ror_ancoa	2022	0.0
ror_ancoa	2024	0.0
ror_ancoa	2026	0.0
ror_ancoa	2028	0.0
ror_ancoa	2030	0.0
ror_ancoa	2032	0.0
ror_ancoa	2034	0.0
ror_ancoa	2036	0.0
ror_ancoa	2038	0.0
ror_charrua	2015	360.1
ror_charrua	2020	0.0
ror_charrua	2022	0.0
ror_charrua	2024	0.0
ror_charrua	2026	0.0
ror_charrua	2028	0.0
ror_charrua	2030	0.0
ror_charrua	2032	0.0
ror_charrua	2034	0.0
ror_charrua	2036	232.116760293
ror_charrua	2038	0.0
ror_itahue	2015	417.5
ror_itahue	2020	0.0241028371733
ror_itahue	2022	223.701956338
ror_itahue	2024	258.773852792
ror_itahue	2026	0.0
ror_itahue	2028	0.0
ror_itahue	2030	0.0
ror_itahue	2032	0.0
ror_itahue	2034	0.0
ror_itahue	2036	0.0
ror_itahue	2038	0.0
ror_pan_de_azucar	2013	28.5
ror_pan_de_azucar	2020	0.0
ror_pan_de_azucar	2022	0.0
ror_pan_de_azucar	2024	0.0
ror_pan_de_azucar	2026	0.0
ror_pan_de_azucar	2028	0.0
ror_pan_de_azucar	2030	0.0
ror_pan_de_azucar	2032	0.0
ror_pan_de_azucar	2034	0.0
ror_pan_de_azucar	2036	0.0
ror_pan_de_azucar	2038	0.0
ror_polpaico	2008	176.9
ror_polpaico	2020	423.099991103
ror_polpaico	2022	0.0
ror_polpaico	2024	0.0
ror_polpaico	2026	0.0
ror_polpaico	2028	0.0
ror_polpaico	2030	0.0
ror_polpaico	2032	0.0
ror_polpaico	2034	0.0
ror_polpaico	2036	0.0
ror_polpaico	2038	0.0
ror_puerto_montt	2014	19.8
ror_puerto_montt	2020	980.199991732
ror_puerto_montt	2022	0.0
ror_puerto_montt	2024	0.0
ror_puerto_montt	2026	0.0
ror_puerto_montt	2028	0.0
ror_puerto_montt	2030	0.0
ror_puerto_montt	2032	0.0
ror_puerto_montt	2034	0.0
ror_puerto_montt	2036	0.0
ror_puerto_montt	2038	0.0
ror_quillota	1989	39.8
ror_quillota	2020	160.199994997
ror_quillota	2022	0.0
ror_quillota	2024	0.0
ror_quillota	2026	0.0
ror_quillota	2028	39.7999920787
ror_quillota	2030	0.0
ror_quillota	2032	0.0
ror_quillota	2034	0.0
ror_quillota	2036	0.0
ror_quillota	2038	0.0
ror_temuco	2015	129.3
ror_temuco	2020	0.0
ror_temuco	2022	0.0
ror_temuco	2024	0.0
ror_temuco	2026	0.0121504237429
